id,month,day,hour,temperature,windspeed,humidity,visibility,holiday,workingday,season,count
1,1,1,5,-4.7,0.2,83,954,1,0,4,48
2,1,1,6,-4.9,1.2,83,931,1,0,4,51
3,1,1,7,-4.8,1.1,86,859,1,0,4,48
4,1,1,8,-4.9,0.7,85,883,1,0,4,94
5,1,1,9,-3.6,0.6,83,908,1,0,4,95
6,1,1,10,-2,0.7,81,945,1,0,4,136
7,1,1,11,1.2,0.5,69,860,1,0,4,188
8,1,1,12,4.3,1.9,48,1039,1,0,4,272
9,1,1,13,5.3,3.7,29,2075,1,0,4,283
10,1,1,14,6.2,2.7,29,2136,1,0,4,330
11,1,1,15,5.9,3.8,18,4442,1,0,4,365
12,1,1,16,5.4,3.2,23,4926,1,0,4,396
13,1,1,17,2.7,3.4,27,5000,1,0,4,369
14,1,1,18,1,1.8,29,4998,1,0,4,274
15,1,1,19,0.2,2.9,34,4602,1,0,4,190
16,1,1,20,-0.5,3.2,38,4123,1,0,4,187
17,1,1,21,-1.7,2.7,43,4047,1,0,4,187
18,1,1,22,-2.2,2.1,45,3941,1,0,4,144
19,1,1,23,-2.5,2.4,46,4080,1,0,4,79
20,1,2,5,-5.3,0.4,42,5000,0,1,4,35
21,1,2,6,-6.2,2.1,39,5000,0,1,4,45
22,1,2,7,-6.2,0,37,5000,0,1,4,130
23,1,2,8,-6.3,0.4,41,3579,0,1,4,250
24,1,2,9,-4.2,0.4,40,4833,0,1,4,165
25,1,2,10,-1.5,0.3,33,4973,0,1,4,122
26,1,2,11,-1,2.2,29,4948,0,1,4,181
27,1,2,12,0.2,2.4,26,5000,0,1,4,240
28,1,2,13,1.3,2.9,22,5000,0,1,4,250
29,1,2,14,1.8,2.8,23,5000,0,1,4,320
30,1,2,15,2.1,2.8,26,5000,0,1,4,274
31,1,2,16,1.9,2.4,27,5000,0,1,4,358
32,1,2,17,-0.2,2.9,29,5000,0,1,4,456
33,1,2,18,-1.8,3.3,34,5000,0,1,4,477
34,1,2,19,-2.9,1.6,42,5000,0,1,4,314
35,1,2,20,-3.8,1.9,49,4909,0,1,4,264
36,1,2,21,-4,0.9,51,4825,0,1,4,222
37,1,2,22,-4.3,0.9,52,4773,0,1,4,183
38,1,2,23,-4.8,0.8,55,4598,0,1,4,150
39,1,3,5,-8.2,1.1,75,2998,0,1,4,50
40,1,3,6,-8.6,0.8,78,2837,0,1,4,48
41,1,3,7,-8.6,1.3,79,2586,0,1,4,134
42,1,3,8,-8.9,0.1,82,2312,0,1,4,281
43,1,3,9,-6,0,72,2477,0,1,4,156
44,1,3,10,-3.5,1,61,2550,0,1,4,152
45,1,3,11,-1.4,1.5,44,3618,0,1,4,198
